,0
,4206714
by,2720850
from,1442795
ft,1441808
2-pt,1126704
shot,1089264
makes,1083099
jump,1073949
rebound,981379
misses,965309
j.,785396
2,708309
defensive,666636
d.,633832
of,603967
3-pt,471098
throw,450606
free,450606
(assist,439079
m.,432539
1,429900
game,405294
for,404908
the,404908
enters,404908
layup,403729
foul,401030
a.,400550
k.,392326
t.,387384
(drawn,385826
r.,354525
offensive,349688
c.,330433
turnover,266318
b.,260006
s.,233582
l.,231994
shooting,190028
g.,180827
team,174852
at,155994
rim,155994
p.,152180
e.,151845
n.,146404
quarter,144524
steal,142783
personal,142166
25,137824
(bad,121165
timeout,111707
26,98939
full,97416
3,90972
pass;,90240
(block,87940
dunk,87726
24,83018
w.,79449
end,75740
23,71408
start,70809
williams,70644
i.,64698
(lost,56771
h.,55225
green,54915
johnson,54261
ball;,52445
z.,49864
hook,47665
smith,46843
18,46229
20,46167
19,44845
4,42545
17,42280
27,40206
16,39058
2nd,37848
3rd,37678
davis,37621
5,37550
6,37192
4th,36427
o.,35579
1st,34596
f.,34589
(offensive,34326
thompson,33491
foul),33411
7,33276
harris,32957
young,32917
gasol,32746
ball:,32351
vs.,32351
15,32007
v.,31425
8,31170
james,31056
gains,31010
possession),31010
pass),30925
jackson,29814
ball,28535
allen,28458
howard,28338
22,28220
brown,27773
14,27494
lopez,27470
9,26849
21,25687
ball),25555
10,25379
anthony,25216
12,25113
gordon,25090
jones,24943
13,24797
hill,24738
westbrook,24535
11,23885
butler,23647
durant,23454
morris,23325
curry,23211
lee,22909
loose,22664
thomas,22551
jefferson,22236
harden,21964
barnes,21838
parker,21374
holiday,21352
martin,21201
chandler,20454
aldridge,20070
miller,19708
anderson,19544
carter,19248
evans,19156
williams),19147
paul,18998
derozan,18449
technical,18282
wade,18219
millsap,17975
antetokounmpo,17922
horford,17712
randolph,17327
robinson,17124
tip-in,17083
nowitzki,17043
(traveling),16876
george,16540
love,16539
west,16467
turner,16399
gay,16246
griffin,16117
walker,16065
leonard,16011
lowry,15792
jordan,15716
wallace,15692
booker,15581
richardson,15532
collison,15205
violation,15177
28,15030
bryant,14950
gibson,14868
crawford,14711
vučević,14695
drummond,14691
ibaka,14671
lillard,14636
wright,14582
cousins,14534
q.,14379
conley,14316
duncan,14259
iguodala,13555
valančiūnas,13174
brooks,13144
bosh,13056
bogdanović,13002
brewer,12959
murray,12892
dragić,12664
green),12439
rondo,12302
ariza,12282
plumlee,12264
powell,12216
irving,12208
wall,12139
ellis,12114
pierce,12068
gobert,12032
batum,11981
johnson),11939
beal,11883
jokić,11678
lost,11602
smith),11573
favors,11570
rose,11541
y.,11538
gortat,11501
prince,11485
towns,11405
matthews,11337
ginóbili,11296
beasley,11273
gallinari,11224
randle,11189
embiid,11129
middleton,11039
teague,10976
boozer,10944
wiggins,10941
james),10897
redick,10863
collins,10829
(shot,10827
clock),10827
noah,10802
scola,10786
hibbert,10778
hayward,10735
bledsoe,10720
hilário,10671
mccollum,10520
stoudemire,10434
adams,10429
freedom,10331
okafor,10305
zeller,10289
i̇lyasova,10283
korver,10263
deng,10204
porter,10157
monroe,10127
(out,9999
bounds,9996
simmons,9916
garnett,9687
mcgee,9531
felton,9509
take,9414
tucker,9371
paul),9360
whiteside,9340
bogut,9283
grant,9248
capela,9210
pachulia,9193
crowder,9183
augustin,9114
rubio,9109
o'neal,9091
thornton,9052
hayes,9045
davis),9036
mitchell,9014
schröder,8999
diaw,8934
ross,8929
bynum,8920
fournier,8648
gasol),8631
watson,8630
westbrook),8579
bradley,8547
hawes,8536
tatum,8500
world,8495
clarkson,8492
aminu,8447
carroll,8438
belinelli,8425
bass,8345
terry,8342
jack,8335
stuckey,8311
white,8232
miles,8209
nelson,8197
perkins,8187
afflalo,8161
biyombo,8143
granger,8097
chalmers,8090
harris),8036
frye,7979
mbah,7962
a,7962
new,7930
oladipo,7928
dončić,7921
olynyk,7889
lavine,7886
barea,7872
dudley,7863
barton,7860
hardaway,7825
bridges,7818
mills,7812
second,7793
jamison,7788
cunningham,7788
marion,7762
u.,7756
sessions,7720
young),7716
smart,7702
harden),7687
dalembert,7631
caldwell-pope,7617
covington,7580
speights,7539
mayo,7492
jackson),7459
odom,7435
jennings,7423
nurkić,7407
sefolosha,7397
sabonis,7377
bargnani,7328
russell,7326
siakam,7310
kaman,7213
faried,7210
porziņģis,7142
payton,7129
washington,7110
(kicked,7097
knight,7059
graham,7051
blatche,7029
calderón,6998
bazemore,6941
burks,6940
hickson,6935
curry),6935
humphries,6931
dunleavy,6875
joseph,6872
foye,6861
hield,6854
la,6839
adebayo,6799
lawson,6794
beverley,6790
peace,6778
moore,6764
portis,6739
holiday),6698
ingles,6680
patterson,6669
moute,6668
landry,6663
lowry),6614
stephenson,6598
türkoğlu,6592
rivers,6565
butler),6553
durant),6545
daniels,6536
howard),6508
ingram,6497
official,6486
lamb,6477
lewis,6476
parker),6412
rozier,6402
len,6401
koufos,6385
ö.,6376
hamilton,6345
haslem,6316
henderson,6267
salmons,6250
dieng,6242
hinrich,6227
brand,6205
block,6159
oubre,6117
rondo),6109
harrell,6096
harrington,6095
hill),6089
livingston,6074
mahinmi,6061
nash,6008
varejão,5991
gordon),5990
thompson),5970
barbosa,5956
udrih,5955
fox,5926
allen),5908
charge,5900
jones),5899
lin,5857
ellington,5845
kuzma,5797
harkless,5783
miller),5783
bayless,5780
goaltending),5755
tolliver,5734
